1,s824747295765831684,Behind the scenes of Bankhead and Wallace! #TouringTheTunnels 
1,s880819345223495682,"Wherever your summer travels take you, stay safe. #ODOTsafe "
2,s868134858157166592,Keep us safe while we work to keep you safe. #MoveOver17 
3,s514043229248176128,VT Swanton #VT #btv has reopened. 
3,s497718718391013376,SD-: road reopened .7mi S of SD20 E.
3,s832293881203064832,SD-: road reopened at South Shore.
3,s887418338745479169,SD-: road reopened SB at I29.
3,s903584060571865088,64E on-ramp from Norview reopened #hrtraffic
2,s689490875173310464, Found out this was scheduled utility work that has been postponed. Not rescheduled yet.
1,s844190180449902592,VaDOTHR has a #tornado plan - what's yours? #TakeCover #TornadoDrill  
1,s902877542192779265," Phonetically speaking, yes-yes it is"
1,s902208565191950340,Snow at Anaktuvuk Pass overnight 
3,s874999425650884609,RT and RT 15A in Morrisville is back open.
3,s849891243760943108, wheeler has been removed from Bankhead Tunnel. Tunnel is now open. #TrafficAlert
3,s891887141688659972,Tractor trailer has been removed from Bankhead Tunnel. Tunnel is now open. #TrafficAlert
3,s789772812953288705,WY789: Open to all traffic between Riverton and Worland. -OCT : #wyoroad
3,s900449988450418690,OKC: I44 SB NW 23rd is now open...teg 
3,s901119289574535168,Route through Smugglers Notch has been reopened. Tractor Trailer has been removed. 511VT
3,s738105553986179073,The Notch RT Stowe #VT #BTV has been re-opened to two way traffic. 
1,s881559361776218117,A phot of VT125 in Ripton from last night. 
3,s863734614111772672, NB is open SB should open at or before am
1,s854689251115618306,Thanks to ALDOT for providing tour of Wallace Tunnel behind the scenes operations for Mobile Section AGC YCF 
1,s875376272184094721," Yes we are, in about the next minutes they will be reversed to outbound."
3,s906720415795568641,"SH171 miles south of Keyes, OK has been reopened. RL"
2,s526790467216629760,OVERTURNED PROPANE SEMI-TRUCK on S- - SECONDARY from milepost to ... 
3,s904693031386857472,Road Reopen on MT- - THE JCT WITH S- (FLESHER PASS ROAD) TO ROGERS PASS from milepost to . ... 
3,s890922523898126338,SD-: road reopened .2mi S of US14 W-Midland.
2,s892813726625255424,Progress con'ts on Turnpike Reconstruction project in Portsmouth w/ paving at Marketplace.… 
3,s903223867472273409,Will Rogers Turnpike: Mile marker westbound has been re-opened...KMW 
2,s695659261536313344,Roadwork -: Title: New Mexico northbound and southbound at mile marker 11Description: Tramway at Montgomer... 
2,s686612670976405505,Roadwork -: Title: New Mexico northbound and southbound at mile marker 32Description: 2016Roadwork NM ... 
2,s700455956883206144,Roadwork -: Title: New Mexico from mile marker to mile marker 44Description: NM - Town of Taos - NMDO... 
1,s824287634591719424,Marginal temperaturess are persisting. Trucks are still working throughout #vt. Where are they? See them here: 
2,s681857378862563328,Roadwork -: Title: New Mexico westbound from mile marker to mile marker 5Description: NM - Los Alamo... 
1,s456002525536452608,Lots of water out there this morning. Looking for trouble in the usual trouble spots. Watch for more.
1,s854447684660363267, Mobile Section takes a behind the scenes look at Wallace Tunnel! #TouringtheWallace 
1,s560229560923738112,Some snow showers will linger into tonight across VT and NE NY. #nywx #vtwx #btv 
3,s902517057937387520,Remember to slow down and move over when you see our workers on the road. It's the law! #MoveOverMonday 
3,s895292196508893184,All lanes have reopened and traffic is slowly starting to move again. 
3,s902546444447571968,RT in Townshend/Harmonyville #VT is back open to two lanes of travel.
3,s530840289196670976,Route in Colchester - All lanes now open.
3,s895064007463317506,Newport News-All southbound lanes at JRB are reopened to traffic. #hrtraffic
3,s898668185934733313,Will Rogers Turnpike: Mile Marker Westbound. Both lanes have been reopened.....DJP 
3,s898215171411324928,"Moore: I35 NB Main st in Moore, all lanes are now open....DJP "
3,s884824059976052737,UPDATE:  LEFT LANES NOW OPEN.
2,s901037202045587457,Roadwork on PA westbound between PA and PA /State Rd. There is a lane restriction.
2,s901956758364672000,Roadwork on PA westbound between PA /PA and PA /Union St. There is a lane restriction.
3,s804826163453579265,RT Pittsfield #VT now open to one lane.
2,s902226536782290945,UPDATE: Roadwork on PA northbound at Mile Post: .. There is a lane restriction.
3,s796012753731387392,SD-: road reopened .8mi E of US18 W-Lake Andes.
2,s685582624937512960,Roadwork -: Title: New Mexico northbound and southbound from mile marker to mile marker La LaderaDesc... 
1,s694244145192259585,Ready for tomorrow's storm? Visit and to know BEFORE you go. 
1,s899720962974904320,Even during #Eclipse2017 -- Keeping Virginia Moving safely was our top priority. 
3,s902147990780915712,"The new lanes on SR , along with the new Montlake ramp, opened just before a.m. this morning! "
2,s905568023448350720,OKC: I44 NB JS 23rd is a stalled vehicle in the right lane ...teg
3,s831383638314991616,UPDATE: Isle of Wight: VA- at Main St. All lanes are open. #hrtraffic
3,s904876966121230338,Interstate southbound mile marker . has been reopened. RL
2,s701837698781188096,Roadwork -: Title: Interstate northbound and southbound from mile marker Tierra Monte Subdivision to mi... 
2,s676433809689022464,Roadwork -: Title: Interstate northbound and southbound from mile marker to mile marker (WATROUS)De... 
2,s676433808879587328,Roadwork -: Title: Interstate westbound from mile marker (SANTA ROSA MIDDLE/US54) to mile marker (S... 
1,s892823279018409985,"Signal your intentions, not everyone has the power to read minds. #DontDriveAggressive "
2,s857752445040050176,Looking for Spring Weight Restrictions Info? Here you go! 
2,s903233168068808704,Roadwork on PA southbound at Industrial Park Rd. There is a ramp restriction.
3,s892006365388054532," There are ‘Maintain ’ signs inside but with volume, reduced lanes and incidents, it is normal for traffic to slow..."
2,s900806415627014144,Updated: Incident on #HollandTunnel WB 
2,s879470964630802433,Incident on #MLine at 36th Street 
2,s897156604503707648,Updated: Incident on #MLine at 65th Street 
2,s900771702547906560,Incident on #JerseyLine at Matawan Station 
2,s904752866228875272,Incident on #RonkonkomaBranch WB at Ronkonkoma Station 
2,s901123536705777664,Updated: Incident on #BabylonBranch at Bellmore Station 
2,s758444498481479685,Update: Incident on #GLine at Hoyt-Schermerhorn Station 
2,s904739764993187844,Incident on #PortLine at Secaucus Transfer Station 
2,s898121852719165440,Incident on #ELine at 14th Street Station 
2,s763149683455848450,Incident on #7Line WB at 40th Street Station 
2,s853007199869784065,Incident on #3Line at Wall Street Station 
2,s895832319117979648,Updated: Incident on #ELine at 23rd Street Station 
2,s883118392592527360,Updated: Incident on #7Line WB at 69th Street Station 
2,s839463331731763202,Update: Incident on #3Line at 110th Street Station 
2,s846401041876815873,Update: Incident on #3Line at Wall Street Station 
2,s864842468663144448,Incident on #2Line from 96th Street Station to Street and 
2,s894664935485124609,Incident on #5Line at Sterling Street Station 
2,s894667652408504321,Updated: Incident on #3Line at Sterling Street Station 
2,s906697360146923520,Updated: Incident on #GladstoneBranch from Gladstone Station to Summit Station 
2,s900809469327806464,Incident on #ToLine from Hoboken Station to 33rd Street Station 
2,s877878854152462336,Incident on #3Line from 72nd Street Station to 14th Street Station 
2,s905096892996091905,Incident on #5Line from 241st Street-Wakefield Station to E 180th Street Station 
2,s863424022553387009,Update: Incident on #3Line from 14th Street Station to 72nd Street Station 
2,s872485400220225537,Updated: Incident on #ELine at St 
2,s906883087388340225,Incident on #NJ10 WB at St Theresa Terr 
2,s883097229745156096,Incident on #LLine WB at 14th Street-Union Square Station 
2,s883099247134035969,Updated: Incident on #LLine at 14th Street-Union Square Station 
2,s870257884067770368,Incident on #3Line at 42nd Street-Times Square Station 
2,s894405384265490432,Updated: Incident on #3Line at 42nd Street-Times Square Station 
2,s682788553353523201,Update: Incident on #7Line at 42nd Street-Times Square Station 
2,s893053842065063936,Updated: Incident on #5Line from 14th Street-Union Square Station to 125th Street Station 
2,s897783628842901505,Incident on #3Line from 14th Street Station to 42nd Street-Times Square Station 
2,s904630797235359745,Incident on #ValleyLine from Spring Valley Station to Hoboken Terminal 
2,s860668846063198208,Incident on #ELine at Spring Street Station 
2,s906131171448258561,Incident on #5Line at Simpson Street Station 
2,s906143725323157504,Updated: Incident on #5Line at Simpson Street Station 
2,s898692425564119040,Updated: Incident on #DLine SB at 36th Street 
2,s877263243051401216,Incident on #1Line SB at 72nd Street Station 
2,s871536040133230594,Incident on #2Line SB at Wall Street Station 
2,s885223946374836226,Updated: Incident on #2Line SB at 72nd Street Station 
2,s842762155728556032,Update: Incident on #2Line SB at 110th Street Station 
2,s894664934214258688,Incident on #2Line SB at Sterling Street Station 
2,s900267831132139521,Incident on #2Line SB from 96th Street Station to 72nd Street Station 
2,s904974549762146304,Incident on #6Line SB at 14th Street-Union Square Station 
2,s891431343778926592,Incident on #2Line SB at 42nd Street-Times Square Station 
2,s894405383409868802,Updated: Incident on #2Line SB at 42nd Street-Times Square Station 
2,s856806124422656002,Incident on #1Line SB from 96th Street Station to 42nd Street-Times Square Station 
2,s900772708497190913,Incident on #NorthLine SB at South Amboy Station 
2,s897044087869755392,Incident on #DLine at Kingsbridge Road Station 
2,s897059212819345409,Updated: Incident on #DLine at Kingsbridge Road Station 
2,s898521778523385856,Incident on #4Line SB at Kingsbridge Road Station 
2,s898641384768450561,Updated: Incident on #4Line SB at Kingsbridge Road Station 
2,s905079286218018819,Updated: Incident on #HempsteadBranch WB from Queens Village Station to Hollis Station 
2,s905072982082629636,Incident on #PortWashingtonBranch WB at Port Washington Station 
2,s903743440885870592,Incident on #JervisLine from Hoboken Terminal to Port Jervis Station 
2,s618370228217626624,Update: Incident on #7Line WB from Willets Point-Shea Stadium Station to 42nd Street-Times Square Station 
2,s685806164290985984,Incident on #7Line at Queensboro Plaza Station 
2,s624358171067420672,Incident on #7Line BOTHDIR from Queensboro Plaza Station to 42nd Street-Times Square Station 
2,s906204422702850053,Incident on #GardenStateParkway SB at Raritan Toll Plaza 
2,s906956322301792258,Incident on #Q102Bus at Queens Plaza 
2,s906980728579268608,Updated: Incident on #Q60Bus at Queens Plaza 
2,s889618850609803264,Incident on #MLine at Queens Plaza Station 
2,s905033211331440640,Incident on #6Line SB at Astor Place Station 
2,s905075210369589252,Incident on #US1 SB at Perry St 
2,s905078278230290432,Updated: Incident on #US1 SB at Perry St 
2,s849391874968350720,Incident on #2Line at 34th Street-Penn Station 
2,s884568052695785474,Updated: Incident on #2Line at 34th Street-Penn Station 
2,s876434005700292609,Incident on #3Line from 96th Street Station to 34th Street-Penn Station 
2,s902649502405980160,Incident on #1Line SB at 34th Street-Penn Station 
2,s894923834851250177,Incident on #2Line SB from 34th Street-Penn Station to 14th Street Station 
2,s904630794714570752,Incident on #JervisLine from Port Jervis Station to Hoboken Path Station 
2,s906084601269030912,Updated: Incident on #4Line SB at Mosholu Parkway Station 
2,s904384652546334721,Incident on #US22 WB at Weequahic Park 
2,s902641158068817924,Incident on #3Line at Van Cortlandt Park Station 
2,s834465164527276033,Incident on #1Line SB from 242nd Street-Van Cortlandt Park Station to 215th Street Station 
2,s898745253926244353,Updated: Incident on #GLine at 15th Street-Prospect Park Station 
2,s897770543751016448,Incident on #BLine SB at Prospect Park Station 
2,s897785677668024321,Updated: Incident on #BLine SB at Prospect Park Station 
2,s898744983447945222,Incident on #FLine SB at 15th Street-Prospect Park Station 
2,s898745254030868481,Updated: Incident on #FLine SB at 15th Street-Prospect Park Station 
2,s845247210585571328,Incident on #3Line at Park Place Station 
2,s893059143933861888,Updated: Incident on #3Line at Park Place Station 
2,s905279616184659968,Updated: Incident on #DirectLine at NY Penn Station 
2,s904392983583318019,Incident on #Q102Bus at Queens Plaza North and Street 
2,s904524340808609792,Updated: Incident on #Q100Bus at Queens Plaza North and Street 
2,s904716855755120640,Incident on #US202 SB at NJ 
2,s903741180701179904,Updated: Incident on #NJ4 WB from Kinderkamack Rd to NJ 
2,s903760292030578688,Incident on #67Bus at Newark Penn Station 
2,s901156778473377792,Incident on #CorridorLine at New York Penn Station 
2,s900950392770412544,Updated: Incident on #CityTerminalZoneBranch at New York Penn Station 
2,s906154631713173504,Updated: Incident on #MontclairboontonLine WB at New York Penn Station 
2,s904630784727945217,Incident on #CorridorLine from Trenton Station to New York Penn Station 
2,s904917181498093570,Updated: Incident on #CorridorLine from Trenton Station to New York Penn Station 
2,s905073736277250049,Updated: Incident on #NorthLine SB at New York Penn Station 
2,s904741527355875329,Incident on #GardenStateParkway SB at North of New Gretna Toll Plaza 
2,s904745040597188609,Updated: Incident on #GardenStateParkway SB at North of New Gretna Toll Plaza 
2,s867351835836903424,Updated: Incident on #ELine NB 
2,s905429907852984322,Incident on #HarlemRiverDrive NB at W. 182nd Street 
2,s906203887622860800,Incident on #NortheastLine NB at Trenton Station 
2,s856685351414444032,Incident on #2Line NB at 125th Street Station 
2,s898582220801269760,Incident on #2Line NB at Wall Street Station 
2,s902261151697920000,Updated: Incident on #1Line NB at 191st Street Station 
2,s871730334555148288,Updated: Incident on #2Line NB at Wall Street Station 
2,s839463330519605253,Update: Incident on #2Line NB at 110th Street Station 
2,s895619931693342720,Incident on #2Line NB from Nevins Street Station to 149th Street 
2,s879367652543746049,Incident on #1Line NB from 72nd Street Station to 96th Street Station 
2,s904421687025905667,Incident on #2Line NB from 225th Street Station to 241st Street-Wakefield Station 
2,s898879116061138945,Updated: Incident on #1Line NB from 96th Street Station to 96th Street Station 
2,s863395105192988672,Update: Incident on #1Line NB from 14th Street Station to 72nd Street Station 
2,s897502289644015618,Incident on #4Line NB at 161st Street-Yankee Stadium Station 
2,s897517144132526081,Updated: Incident on #4Line NB at 161st Street-Yankee Stadium Station 
2,s894339467825352704,Incident on #4Line NB at 14th Street-Union Square Station 
2,s903599721427632129,Incident on #2Line NB at 42nd Street-Times Square Station 
2,s846795179684188161,Incident on #2Line NB from 14th Street Station to 42nd Street-Times Square Station 
2,s906143724358467584,Updated: Incident on #2Line NB at Simpson Street Station 
2,s904748333364912129,Incident on #TaconicStateParkway NB at Route ; Ramp 
2,s903758547208556548,Updated: Incident on #PortLine NB from Hoboken Terminal to Port Jervis Station 
2,s901393275101249536,Incident on #1Line NB at 34th Street-Penn Station 
2,s835186931004813313,Incident on #1Line NB from 34th Street-Penn Station to 72nd Street Station 
2,s897125379613306880,Incident on #4Line NB from 167th Street Station to Mosholu Parkway Station 
2,s897857651073105921,Updated: Incident on #BLine NB at Prospect Park Station 
2,s893058629926088706,Incident on #2Line NB at Park Place Station 
2,s893059142906249218,Updated: Incident on #2Line NB at Park Place Station 
2,s904419416183595008,Incident on #NJ440 NB at NJ 
2,s900345400036515840,Updated: Incident on #NJ55 NB at NJ 
2,s900720488141533184,Updated: Incident on #US19TruckRoute NB at North of NJ 
2,s900683106335825920,Incident on #US130 NB from NJ to NJ 
2,s900330033839034368,Updated: Incident on #US130 NB from NJ to NJ 
2,s904725180962013184,Updated: Incident on #ChurchStreet NB from Park Place to Murray Street 
2,s905026907703574530,Updated: Incident on #5Line NB at Morris Park Station 
2,s850116313464942593,Incident on #7Line at Mets-Willets Point Station 
2,s903461351032360960,Updated: Incident on #7Line at Mets-Willets Point Station 
2,s871693362558009345,Updated: Incident on #7Line WB at Mets-Willets Point Station 
2,s891655845456609280,Incident on #7Line from 52nd Street Station to Mets-Willets Point Station 
2,s891662629902704641,Updated: Incident on #7Line from 52nd Street Station to Mets-Willets Point Station 
2,s904722695081914368,Incident on #JervisLine at Paterson Market Street Station 
2,s901036968053813249,Incident on #EssexLine at Summit and Maplewood train stations 
2,s906151537772290049,Incident on #NJ17 NB at Paramus Park Mall 
